pmv,ppd
0.56,11.5
0.55,11.2
0.55,11.4
0.55,11.4
0.55,11.4
0.56,11.5
0.56,11.7
0.55,11.4
0.55,11.4
0.56,11.5
0.57,11.7
0.57,11.7
0.56,11.5
0.56,11.6
0.57,11.9
0.57,11.7
0.57,11.8
0.57,11.8
0.56,11.6
0.55,11.4
0.56,11.5
0.43,8.8
0.56,11.5
0.54,11.2
0.54,11.1
0.55,11.3
0.54,11.0
0.53,10.9
0.54,11.2
0.54,11.1
0.54,11.1
0.52,10.7
0.53,10.9
0.53,10.9
0.51,10.5
0.52,10.5
0.52,10.6
0.52,10.7
0.52,10.7
0.51,10.4
0.51,10.3
0.51,10.4
0.51,10.4
0.49,10.1
0.5,10.3
0.51,10.4
0.49,10.0
0.48,9.7
0.49,10.0
0.49,10.1
0.48,9.8
0.47,9.6
0.47,9.6
0.47,9.7
0.47,9.5
0.45,9.3
0.46,9.4
0.46,9.5
0.45,9.2
0.44,9.0
0.44,9.0
0.44,9.1
0.43,8.8
0.42,8.7
0.43,8.8
0.43,8.9
0.42,8.7
0.42,8.6
0.42,8.7
0.43,8.8
0.41,8.6
0.41,8.6
0.41,8.6
0.42,8.7
0.4,8.4
0.4,8.4
0.41,8.5
0.42,8.6
0.4,8.3
0.39,8.2
0.39,8.2
0.4,8.3
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.2
0.42,8.6
0.41,8.6
0.4,8.3
0.42,8.6
0.43,8.8
0.43,8.9
0.42,8.7
0.42,8.7
0.42,8.7
0.42,8.8
0.42,8.7
0.42,8.8
0.43,8.8
0.42,8.7
0.42,8.7
0.43,8.9
0.43,8.8
0.43,8.9
0.43,8.8
0.43,8.8
0.43,8.9
0.44,9.0
0.43,8.9
0.44,9.0
0.43,8.8
0.43,8.8
0.43,8.8
0.43,8.8
0.43,8.8
0.42,8.7
0.43,8.8
0.43,8.8
0.42,8.7
0.42,8.7
0.42,8.7
0.42,8.7
0.4,8.4
0.42,8.7
0.41,8.6
0.4,8.4
0.39,8.2
0.39,8.2
0.4,8.3
0.39,8.1
0.38,8.0
0.38,8.0
0.39,8.1
0.38,8.0
0.38,7.9
0.37,7.9
0.38,8.0
0.37,7.8
0.37,7.9
0.37,7.8
0.37,7.9
0.37,7.9
0.37,7.8
0.37,7.9
0.38,7.9
0.37,7.9
0.36,7.7
0.37,7.8
0.37,7.9
0.36,7.7
0.36,7.6
0.36,7.7
0.36,7.7
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.34,7.4
0.35,7.5
0.35,7.5
0.35,7.5
0.34,7.4
0.34,7.4
0.34,7.4
0.34,7.4
0.34,7.3
0.33,7.3
0.34,7.4
0.34,7.4
0.33,7.2
0.34,7.4
0.33,7.3
0.33,7.3
0.34,7.4
0.35,7.5
0.36,7.7
0.35,7.5
0.35,7.6
0.36,7.6
0.36,7.6
0.35,7.6
0.37,7.8
0.37,7.9
0.37,7.8
0.37,7.8
0.38,8.0
0.39,8.1
0.38,8.1
0.38,8.0
0.38,8.1
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.1
0.4,8.3
0.39,8.1
0.4,8.3
0.4,8.4
0.4,8.4
0.4,8.4
0.4,8.4
0.4,8.4
0.41,8.5
0.41,8.5
0.41,8.6
0.41,8.5
0.41,8.5
0.41,8.6
0.42,8.6
0.41,8.5
0.41,8.5
0.41,8.4
0.41,8.6
0.41,8.5
0.4,8.3
0.41,8.5
0.41,8.5
0.4,8.3
0.39,8.2
0.4,8.3
0.4,8.3
0.39,8.2
0.39,8.1
0.39,8.2
0.39,8.2
0.38,8.0
0.37,7.9
0.38,8.0
0.38,8.0
0.38,7.9
0.37,7.9
0.37,7.9
0.37,7.9
0.37,7.9
0.37,7.9
0.37,7.9
0.37,7.9
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.8
0.36,7.8
0.37,7.9
0.37,7.8
0.37,7.8
0.36,7.7
0.36,7.7
0.37,7.8
0.36,7.8
0.36,7.6
0.36,7.7
0.36,7.7
0.35,7.6
0.36,7.7
0.36,7.7
0.35,7.6
0.36,7.6
0.37,7.8
0.37,7.8
0.36,7.7
0.37,7.9
0.39,8.1
0.37,7.9
0.37,7.8
0.38,8.1
0.39,8.2
0.4,8.3
0.39,8.2
0.4,8.3
0.4,8.4
0.41,8.5
0.4,8.3
0.39,8.1
0.41,8.5
0.42,8.7
0.41,8.5
0.42,8.6
0.43,8.9
0.42,8.7
0.42,8.8
0.43,8.9
0.45,9.3
0.44,9.0
0.44,9.0
0.45,9.2
0.47,9.6
0.46,9.4
0.46,9.3
0.48,9.7
0.49,9.9
0.49,10.0
0.48,9.8
0.5,10.2
0.51,10.4
0.51,10.4
0.5,10.3
0.52,10.5
0.52,10.7
0.53,10.8
0.52,10.6
0.53,11.0
0.54,11.1
0.53,10.9
0.52,10.7
0.53,10.8
0.53,10.9
0.54,11.0
0.53,10.8
0.53,10.8
0.52,10.6
0.53,10.8
0.53,10.8
0.52,10.6
0.5,10.2
0.51,10.4
0.51,10.4
0.5,10.2
0.48,9.9
0.48,9.9
0.5,10.1
0.48,9.9
0.47,9.7
0.47,9.6
0.48,9.8
0.47,9.5
0.45,9.2
0.46,9.3
0.46,9.4
0.44,9.1
0.43,8.9
0.44,9.1
0.44,9.0
0.43,8.9
0.43,8.9
0.43,8.8
0.44,9.0
0.42,8.7
0.42,8.7
0.43,8.9
0.43,8.8
0.42,8.7
0.42,8.6
0.41,8.5
0.42,8.7
0.42,8.8
0.42,8.7
0.43,8.8
0.42,8.6
0.44,9.0
0.43,8.8
0.43,8.8
0.43,8.8
0.42,8.6
0.42,8.7
0.44,9.0
0.42,8.8
0.42,8.7
0.43,8.9
0.43,8.9
0.43,8.9
0.43,8.8
0.43,8.9
0.43,8.9
0.43,8.8
0.44,9.1
0.44,9.1
0.44,9.0
0.45,9.1
0.45,9.3
0.45,9.3
0.44,9.0
0.45,9.2
0.46,9.5
0.47,9.6
0.46,9.4
0.46,9.4
0.47,9.6
0.48,9.9
0.47,9.6
0.47,9.6
0.5,10.2
0.51,10.4
0.5,10.3
0.49,10.0
0.52,10.6
0.52,10.6
0.52,10.7
0.52,10.6
0.5,10.3
0.51,10.5
0.51,10.4
0.51,10.4
0.51,10.4
0.53,10.8
0.52,10.8
0.52,10.6
0.53,10.9
0.54,11.0
0.54,11.1
0.54,11.1
0.53,10.9
0.53,10.8
0.52,10.6
0.52,10.8
0.53,10.9
0.52,10.6
0.53,11.0
0.52,10.6
0.51,10.4
0.5,10.3
0.5,10.3
0.51,10.4
0.51,10.3
0.5,10.3
0.49,10.1
0.5,10.3
0.5,10.2
0.5,10.2
0.5,10.2
0.5,10.2
0.49,10.0
0.49,9.9
0.49,10.0
0.5,10.1
0.49,9.9
0.48,9.8
0.48,9.8
0.48,9.7
0.47,9.6
0.46,9.5
0.48,9.8
0.47,9.7
0.47,9.5
0.46,9.3
0.46,9.4
0.47,9.5
0.46,9.5
0.46,9.3
0.45,9.3
0.46,9.4
0.45,9.3
0.45,9.2
0.45,9.3
0.45,9.3
0.45,9.3
0.45,9.3
0.45,9.2
0.45,9.2
0.44,9.1
0.45,9.3
0.44,9.1
0.45,9.2
0.45,9.1
0.45,9.3
0.45,9.3
0.44,9.1
0.46,9.3
0.46,9.5
0.45,9.3
0.46,9.3
0.47,9.6
0.47,9.6
0.47,9.7
0.47,9.5
0.48,9.8
0.48,9.9
0.48,9.8
0.48,9.8
0.49,9.9
0.5,10.3
0.49,10.0
0.5,10.2
0.51,10.5
0.52,10.7
0.52,10.6
0.52,10.6
0.54,11.1
0.53,10.9
0.53,10.9
0.4,8.4
0.41,8.5
0.51,10.4
0.55,11.3
0.45,9.2
0.3,6.9
0.55,11.4
0.56,11.5
0.56,11.5
0.55,11.4
0.56,11.5
0.55,11.4
0.56,11.5
0.56,11.5
0.55,11.4
0.56,11.5
0.56,11.6
0.55,11.3
0.55,11.4
0.55,11.3
0.55,11.4
0.56,11.5
0.55,11.3
0.56,11.5
0.55,11.3
0.55,11.3
0.54,11.2
0.55,11.2
0.55,11.3
0.54,11.1
0.54,11.1
0.54,11.0
0.53,10.9
0.53,10.8
0.52,10.7
0.53,10.9
0.53,10.9
0.52,10.8
0.52,10.6
0.52,10.6
0.52,10.7
0.51,10.5
0.51,10.4
0.51,10.5
0.51,10.5
0.51,10.4
0.5,10.3
0.5,10.3
0.51,10.4
0.5,10.3
0.5,10.2
0.5,10.2
0.5,10.3
0.5,10.3
0.5,10.2
0.5,10.2
0.5,10.2
0.5,10.1
0.49,10.0
0.5,10.2
0.49,10.0
0.48,9.9
0.48,9.9
0.49,10.0
0.48,9.9
0.48,9.8
0.48,9.8
0.48,9.9
0.48,9.8
0.48,9.8
0.49,10.0
0.48,9.8
0.48,9.8
0.5,10.3
0.5,10.2
0.49,10.0
0.49,10.0
0.5,10.2
0.5,10.2
0.51,10.4
0.51,10.4
0.5,10.1
0.5,10.3
0.51,10.4
0.5,10.3
0.51,10.4
0.52,10.6
0.53,10.8
0.52,10.6
0.53,10.9
0.54,11.2
0.53,11.0
0.53,10.9
0.55,11.3
0.56,11.5
0.55,11.4
0.55,11.3
0.56,11.6
0.44,9.1
0.55,11.4
0.55,11.4
0.56,11.5
0.43,8.8
0.37,7.9
0.48,9.9
0.48,9.9
0.45,9.3
0.31,6.9
0.38,8.0
0.34,7.4
0.44,9.0
0.41,8.5
0.37,7.9
0.47,9.6
0.52,10.7
0.53,11.0
0.5,10.2
0.55,11.4
0.55,11.3
0.55,11.4
0.55,11.3
0.55,11.3
0.55,11.3
0.55,11.3
0.55,11.4
0.55,11.4
0.54,11.2
0.55,11.3
0.55,11.3
0.54,11.1
0.52,10.8
0.53,10.9
0.53,10.9
0.53,10.8
0.52,10.7
0.52,10.7
0.53,10.8
0.52,10.6
0.5,10.3
0.51,10.4
0.51,10.4
0.5,10.3
0.5,10.2
0.5,10.2
0.5,10.2
0.49,10.0
0.49,9.9
0.49,9.9
0.49,10.0
0.48,9.8
0.48,9.7
0.48,9.8
0.48,9.9
0.47,9.7
0.48,9.7
0.48,9.8
0.47,9.7
0.47,9.6
0.47,9.6
0.47,9.6
0.47,9.7
0.47,9.6
0.47,9.6
0.47,9.6
0.46,9.5
0.46,9.4
0.47,9.7
0.47,9.6
0.46,9.5
0.47,9.7
0.47,9.6
0.48,9.8
0.47,9.6
0.48,9.8
0.48,9.8
0.48,9.8
0.48,9.8
0.48,9.8
0.5,10.1
0.5,10.1
0.49,9.9
0.5,10.3
0.5,10.3
0.51,10.4
0.5,10.3
0.52,10.6
0.52,10.6
0.51,10.4
0.51,10.3
0.51,10.4
0.51,10.5
0.51,10.5
0.52,10.6
0.52,10.6
0.52,10.7
0.53,10.8
0.52,10.6
0.52,10.6
0.52,10.6
0.52,10.7
0.52,10.7
0.51,10.5
0.41,8.6
0.52,10.7
0.49,10.1
0.39,8.2
0.44,9.1
0.27,6.6
0.48,9.9
0.53,10.9
0.54,11.0
0.53,11.0
0.53,10.9
0.53,10.8
0.52,10.8
0.53,10.8
0.53,11.0
0.53,10.9
0.53,10.8
0.53,10.8
0.53,10.9
0.53,10.8
0.52,10.5
0.52,10.7
0.52,10.7
0.52,10.5
0.51,10.5
0.52,10.6
0.52,10.5
0.51,10.4
0.5,10.1
0.51,10.5
0.51,10.4
0.5,10.2
0.48,9.9
0.49,10.1
0.49,10.1
0.48,9.8
0.47,9.6
0.49,9.9
0.48,9.8
0.48,9.7
0.46,9.4
0.46,9.4
0.47,9.5
0.45,9.2
0.43,8.9
0.44,9.1
0.44,9.0
0.44,9.0
0.42,8.7
0.42,8.8
0.44,9.0
0.42,8.7
0.42,8.7
0.42,8.8
0.42,8.7
0.42,8.6
0.41,8.6
0.42,8.6
0.41,8.6
0.41,8.4
0.41,8.4
0.41,8.5
0.41,8.5
0.4,8.4
0.4,8.4
0.41,8.5
0.4,8.4
0.4,8.4
0.4,8.4
0.41,8.5
0.4,8.4
0.4,8.4
0.4,8.4
0.4,8.4
0.4,8.3
0.4,8.3
0.4,8.3
0.4,8.4
0.4,8.3
0.4,8.3
0.4,8.4
0.41,8.5
0.4,8.3
0.4,8.3
0.41,8.5
0.4,8.4
0.4,8.4
0.41,8.5
0.41,8.5
0.41,8.6
0.41,8.5
0.41,8.5
0.41,8.6
0.41,8.6
0.41,8.6
0.41,8.5
0.42,8.7
0.41,8.5
0.42,8.6
0.42,8.8
0.42,8.6
0.42,8.7
0.42,8.6
0.41,8.5
0.41,8.5
0.42,8.7
0.41,8.5
0.41,8.5
0.4,8.3
0.41,8.4
0.41,8.5
0.4,8.4
0.39,8.2
0.4,8.3
0.4,8.4
0.39,8.2
0.39,8.1
0.39,8.2
0.39,8.2
0.39,8.1
0.38,8.1
0.39,8.1
0.39,8.1
0.39,8.1
0.38,8.0
0.38,8.1
0.39,8.1
0.38,8.0
0.38,8.0
0.38,8.0
0.37,7.9
0.38,7.9
0.38,8.1
0.39,8.1
0.38,8.1
0.39,8.1
0.38,8.1
0.38,8.0
0.38,8.1
0.38,8.0
0.38,8.0
0.38,8.0
0.37,7.9
0.38,8.0
0.38,8.0
0.39,8.1
0.38,8.0
0.39,8.1
0.39,8.1
0.39,8.1
0.39,8.1
0.38,8.0
0.38,8.1
0.39,8.1
0.38,8.1
0.39,8.1
0.39,8.1
0.38,8.0
0.38,8.0
0.39,8.1
0.38,8.0
0.39,8.1
0.38,8.0
0.38,8.0
0.38,8.0
0.38,8.1
0.38,8.1
0.38,8.0
0.39,8.1
0.39,8.2
0.39,8.1
0.4,8.4
0.4,8.3
0.4,8.3
0.39,8.2
0.39,8.2
0.4,8.3
0.39,8.2
0.39,8.2
0.4,8.4
0.4,8.4
0.4,8.4
0.4,8.3
0.41,8.4
0.41,8.5
0.41,8.5
0.41,8.4
0.41,8.5
0.42,8.6
0.42,8.7
0.41,8.5
0.41,8.6
0.43,8.8
0.42,8.7
0.42,8.7
0.43,8.8
0.42,8.7
0.42,8.8
0.43,8.8
0.41,8.5
0.41,8.5
0.41,8.5
0.42,8.6
0.41,8.6
0.41,8.5
0.41,8.5
0.41,8.5
0.41,8.4
0.4,8.4
0.4,8.4
0.41,8.5
0.4,8.4
0.4,8.3
0.4,8.4
0.4,8.4
0.39,8.2
0.39,8.2
0.4,8.4
0.39,8.2
0.39,8.1
0.39,8.2
0.4,8.3
0.39,8.2
0.38,8.0
0.39,8.1
0.39,8.2
0.39,8.1
0.39,8.1
0.38,8.0
0.38,8.0
0.38,8.0
0.38,8.0
0.38,7.9
0.38,8.0
0.38,8.0
0.37,7.9
0.38,8.0
0.37,7.9
0.38,7.9
0.38,8.0
0.39,8.1
0.38,8.0
0.38,8.0
0.38,8.0
0.38,8.0
0.39,8.1
0.38,8.0
0.38,8.0
0.38,7.9
0.37,7.9
0.38,8.0
0.37,7.9
0.38,8.0
0.37,7.9
0.38,8.0
0.37,7.9
0.39,8.1
0.39,8.1
0.38,8.0
0.38,8.1
0.4,8.4
0.4,8.4
0.4,8.3
0.41,8.6
0.42,8.6
0.42,8.7
0.42,8.6
0.42,8.7
0.43,8.8
0.42,8.7
0.43,8.8
0.45,9.1
0.44,8.9
0.44,9.0
0.44,9.0
0.44,9.0
0.46,9.3
0.46,9.4
0.44,9.0
0.46,9.4
0.46,9.5
0.46,9.5
0.46,9.4
0.46,9.5
0.47,9.6
0.47,9.6
0.47,9.5
0.48,9.8
0.48,9.7
0.48,9.9
0.48,9.8
0.48,9.9
0.49,10.1
0.5,10.2
0.48,9.9
0.49,10.1
0.49,10.1
0.5,10.2
0.49,10.1
0.49,10.1
0.48,9.8
0.48,9.8
0.49,10.0
0.47,9.7
0.46,9.5
0.47,9.5
0.47,9.7
0.45,9.3
0.44,9.1
0.45,9.1
0.45,9.3
0.45,9.2
0.44,9.0
0.44,9.1
0.45,9.1
0.44,9.0
0.43,8.9
0.44,9.0
0.44,9.0
0.43,8.8
0.42,8.6
0.42,8.7
0.42,8.7
0.42,8.7
0.42,8.7
0.42,8.6
0.42,8.7
0.42,8.7
0.41,8.5
0.41,8.6
0.42,8.6
0.41,8.5
0.41,8.5
0.41,8.5
0.41,8.5
0.41,8.5
0.4,8.3
0.41,8.4
0.4,8.4
0.4,8.4
0.39,8.2
0.4,8.3
0.39,8.2
0.39,8.1
0.39,8.2
0.39,8.2
0.38,8.1
0.38,8.0
0.37,7.9
0.38,8.0
0.38,8.0
0.38,7.9
0.38,8.0
0.37,7.9
0.37,7.9
0.38,8.0
0.38,8.0
0.37,7.9
0.37,7.9
0.38,8.1
0.39,8.2
0.39,8.2
0.38,8.1
0.4,8.3
0.41,8.4
0.4,8.3
0.4,8.3
0.4,8.4
0.41,8.5
0.41,8.5
0.41,8.4
0.41,8.5
0.41,8.5
0.41,8.5
0.41,8.5
0.4,8.4
0.41,8.6
0.41,8.6
0.41,8.5
0.41,8.4
0.41,8.5
0.42,8.6
0.41,8.6
0.41,8.5
0.41,8.5
0.41,8.4
0.41,8.6
0.41,8.6
0.41,8.5
0.42,8.7
0.41,8.6
0.41,8.5
0.41,8.4
0.4,8.4
0.41,8.5
0.4,8.4
0.39,8.2
0.4,8.3
0.4,8.3
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.2
0.4,8.3
0.4,8.3
0.39,8.2
0.4,8.3
0.39,8.2
0.39,8.2
0.39,8.1
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.2
0.4,8.3
0.4,8.3
0.39,8.1
0.39,8.2
0.39,8.2
0.39,8.1
0.39,8.2
0.38,8.0
0.38,8.1
0.38,8.0
0.38,8.0
0.38,8.0
0.38,8.1
0.37,7.8
0.37,7.8
0.38,7.9
0.38,8.0
0.37,7.8
0.37,7.8
0.37,7.8
0.36,7.8
0.36,7.7
0.37,7.9
0.37,7.8
0.37,7.8
0.38,8.1
0.37,7.9
0.38,8.1
0.38,7.9
0.38,7.9
0.38,8.0
0.38,8.0
0.37,7.9
0.39,8.1
0.37,7.9
0.37,7.9
0.37,7.9
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.9
0.37,7.8
0.37,7.8
0.37,7.9
0.38,7.9
0.38,7.9
0.37,7.9
0.38,7.9
0.37,7.9
0.38,7.9
0.38,8.0
0.37,7.9
0.38,7.9
0.38,8.0
0.39,8.1
0.38,8.0
0.39,8.1
0.39,8.1
0.38,8.1
0.38,8.0
0.38,8.1
0.38,8.0
0.39,8.2
0.39,8.1
0.39,8.2
0.39,8.1
0.38,8.1
0.39,8.1
0.38,7.9
0.39,8.1
0.39,8.1
0.38,8.1
0.39,8.1
0.38,8.1
0.38,8.1
0.38,8.0
0.38,8.0
0.37,7.8
0.37,7.9
0.37,7.9
0.37,7.8
0.36,7.7
0.37,7.8
0.37,7.8
0.36,7.7
0.35,7.6
0.36,7.7
0.36,7.7
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.36,7.6
0.35,7.6
0.35,7.6
0.35,7.5
0.35,7.5
0.34,7.4
0.34,7.4
0.34,7.4
0.35,7.5
0.35,7.5
0.34,7.4
0.34,7.4
0.34,7.4
0.34,7.4
0.35,7.5
0.35,7.6
0.35,7.6
0.35,7.5
0.35,7.5
0.36,7.7
0.36,7.8
0.36,7.7
0.37,7.8
0.36,7.7
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.9
0.37,7.8
0.36,7.7
0.36,7.7
0.36,7.6
0.36,7.7
0.36,7.7
0.36,7.7
0.36,7.7
0.36,7.7
0.37,7.8
0.36,7.7
0.35,7.6
0.34,7.4
0.34,7.4
0.35,7.6
0.34,7.4
0.33,7.2
0.33,7.3
0.34,7.4
0.33,7.2
0.33,7.2
0.32,7.2
0.33,7.2
0.33,7.3
0.33,7.3
0.33,7.2
0.33,7.3
0.34,7.4
0.35,7.5
0.34,7.4
0.33,7.3
0.34,7.5
0.36,7.6
0.36,7.6
0.35,7.6
0.36,7.7
0.36,7.7
0.35,7.6
0.35,7.6
0.36,7.7
0.36,7.8
0.37,7.9
0.37,7.8
0.36,7.7
0.37,7.8
0.37,7.8
0.37,7.8
0.37,7.8
0.36,7.6
0.36,7.7
0.36,7.8
0.35,7.6
0.33,7.3
0.34,7.4
0.34,7.4
0.33,7.2
0.31,7.1
0.33,7.2
0.32,7.2
0.32,7.1
0.3,6.8
0.3,6.9
0.3,6.9
0.29,6.7
0.28,6.7
0.29,6.7
0.28,6.7
0.28,6.7
0.27,6.5
0.27,6.5
0.28,6.6
0.26,6.4
0.25,6.3
0.26,6.4
0.27,6.5
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.24,6.2
0.23,6.1
0.24,6.2
0.24,6.2
0.23,6.1
0.22,6.0
0.23,6.1
0.23,6.1
0.22,6.0
0.21,5.9
0.21,5.9
0.21,5.9
0.2,5.8
0.19,5.8
0.2,5.8
0.2,5.8
0.19,5.8
0.18,5.7
0.18,5.7
0.19,5.8
0.18,5.7
0.18,5.6
0.18,5.6
0.18,5.7
0.18,5.6
0.18,5.6
0.17,5.6
0.18,5.6
0.17,5.6
0.18,5.7
0.17,5.6
0.17,5.6
0.18,5.7
0.19,5.7
0.19,5.7
0.18,5.7
0.19,5.8
0.21,5.9
0.2,5.8
0.2,5.8
0.21,5.9
0.21,5.9
0.21,6.0
0.21,5.9
0.21,6.0
0.23,6.1
0.23,6.1
0.22,6.0
0.23,6.1
0.24,6.2
0.25,6.3
0.24,6.2
0.26,6.4
0.26,6.4
0.25,6.3
0.26,6.4
0.28,6.6
0.28,6.6
0.27,6.5
0.27,6.5
0.28,6.7
0.29,6.8
0.29,6.8
0.29,6.7
0.28,6.7
0.29,6.7
0.29,6.7
0.29,6.8
0.29,6.7
0.27,6.5
0.27,6.5
0.28,6.6
0.27,6.5
0.26,6.4
0.25,6.3
0.26,6.4
0.24,6.2
0.24,6.2
0.25,6.3
0.24,6.2
0.24,6.2
0.24,6.2
0.23,6.1
0.24,6.2
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.22,6.0
0.21,5.9
0.23,6.1
0.22,6.0
0.21,5.9
0.2,5.8
0.2,5.8
0.21,5.9
0.2,5.8
0.18,5.6
0.18,5.7
0.19,5.7
0.17,5.6
0.16,5.5
0.16,5.6
0.17,5.6
0.15,5.5
0.14,5.4
0.14,5.4
0.15,5.5
0.14,5.4
0.12,5.3
0.13,5.3
0.13,5.4
0.12,5.3
0.11,5.2
0.11,5.3
0.11,5.3
0.1,5.2
0.1,5.2
0.1,5.2
0.1,5.2
0.09,5.2
0.08,5.1
0.08,5.1
0.09,5.1
0.08,5.1
0.09,5.2
0.08,5.1
0.08,5.1
0.09,5.2
0.1,5.2
0.1,5.2
0.09,5.2
0.1,5.2
0.11,5.3
0.11,5.2
0.11,5.3
0.12,5.3
0.13,5.4
0.12,5.3
0.12,5.3
0.14,5.4
0.16,5.5
0.15,5.5
0.14,5.4
0.17,5.6
0.19,5.7
0.18,5.7
0.18,5.7
0.2,5.8
0.21,5.9
0.22,6.0
0.21,5.9
0.23,6.1
0.24,6.2
0.24,6.2
0.23,6.1
0.24,6.2
0.26,6.4
0.25,6.3
0.24,6.2
0.26,6.4
0.25,6.3
0.25,6.3
0.26,6.4
0.25,6.2
0.24,6.2
0.25,6.3
0.25,6.3
0.25,6.3
0.24,6.2
0.24,6.1
0.24,6.2
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.22,6.0
0.23,6.1
0.22,6.0
0.25,6.3
0.24,6.2
0.24,6.2
0.26,6.4
0.26,6.4
0.26,6.4
0.25,6.3
0.27,6.5
0.27,6.5
0.27,6.6
0.27,6.5
0.27,6.5
0.28,6.6
0.28,6.6
0.27,6.6
0.29,6.7
0.29,6.7
0.28,6.7
0.28,6.6
0.28,6.7
0.29,6.8
0.29,6.8
0.29,6.8
0.29,6.8
0.3,6.9
0.3,6.9
0.29,6.8
0.3,6.8
0.31,7.0
0.31,7.0
0.31,7.0
0.31,7.0
0.31,7.0
0.32,7.1
0.31,7.0
0.31,7.0
0.32,7.1
0.32,7.1
0.32,7.1
0.32,7.2
0.32,7.1
0.32,7.2
0.32,7.1
0.32,7.2
0.33,7.3
0.33,7.2
0.33,7.2
0.33,7.2
0.33,7.3
0.33,7.3
0.33,7.3
0.33,7.3
0.34,7.4
0.34,7.4
0.33,7.3
0.35,7.5
0.34,7.4
0.35,7.5
0.35,7.5
0.35,7.5
0.35,7.5
0.34,7.4
0.35,7.5
0.35,7.5
0.35,7.5
0.35,7.5
0.35,7.5
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.36,7.7
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.6
0.35,7.5
0.35,7.6
0.35,7.6
0.36,7.7
0.35,7.6
0.36,7.7
0.35,7.6
0.35,7.6
0.35,7.6
0.36,7.7
0.36,7.6
0.36,7.7
0.36,7.7
0.36,7.8
0.35,7.6
0.35,7.6
0.36,7.7
0.35,7.5
0.35,7.5
0.34,7.5
0.35,7.5
0.34,7.4
0.33,7.3
0.33,7.3
0.34,7.4
0.33,7.2
0.33,7.2
0.32,7.2
0.32,7.2
0.33,7.2
0.32,7.1
0.32,7.2
0.32,7.2
0.32,7.2
0.33,7.2
0.32,7.2
0.32,7.2
0.34,7.3
0.33,7.2
0.33,7.3
0.33,7.3
0.32,7.2
0.33,7.3
0.33,7.3
0.33,7.2
0.33,7.3
0.34,7.4
0.34,7.4
0.34,7.4
0.34,7.4
0.35,7.5
0.34,7.4
0.34,7.4
0.35,7.5
0.36,7.7
0.36,7.6
0.35,7.6
0.36,7.7
0.37,7.8
0.37,7.9
0.37,7.8
0.37,7.8
0.38,7.9
0.38,8.0
0.38,8.0
0.38,8.0
0.39,8.2
0.39,8.2
0.39,8.1
0.39,8.2
0.41,8.5
0.4,8.3
0.4,8.4
0.42,8.6
0.42,8.7
0.43,8.9
0.42,8.7
0.41,8.5
0.42,8.7
0.42,8.6
0.42,8.7
0.42,8.7
0.43,8.9
0.43,8.9
0.42,8.8
0.42,8.7
0.43,8.9
0.43,8.8
0.43,8.9
0.44,9.0
0.43,8.9
0.44,9.0
0.44,9.0
0.43,8.8
0.42,8.8
0.43,8.9
0.43,8.8
0.42,8.7
0.41,8.6
0.42,8.7
0.42,8.7
0.42,8.6
0.41,8.5
0.41,8.5
0.41,8.5
0.41,8.4
0.4,8.3
0.4,8.4
0.4,8.3
0.4,8.4
0.4,8.3
0.4,8.3
0.4,8.3
0.4,8.3
0.4,8.4
0.4,8.3
0.4,8.3
0.4,8.3
0.4,8.4
0.4,8.4
0.4,8.3
0.4,8.3
0.4,8.3
0.4,8.3
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.2
0.4,8.3
0.39,8.1
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.1
0.39,8.2
0.38,8.0
0.39,8.2
0.38,8.0
0.38,8.0
0.39,8.1
0.39,8.1
0.39,8.2
0.39,8.2
0.39,8.2
0.39,8.2
0.4,8.3
0.4,8.3
0.4,8.4
0.4,8.3
0.4,8.3
0.41,8.5
0.41,8.5
0.4,8.3
0.41,8.4
0.4,8.3
0.42,8.7
0.41,8.5
0.41,8.5
0.41,8.5
0.4,8.4
0.42,8.6
0.42,8.6
0.42,8.6
0.41,8.5
0.41,8.5
0.41,8.4
0.42,8.6
0.42,8.7
0.41,8.6
0.43,8.8
0.44,9.0
0.43,8.9
0.43,8.9
0.44,9.1
0.44,9.0
0.44,9.1
0.44,9.0
0.44,9.1
0.46,9.3
0.45,9.3
0.45,9.2
0.22,6.0
0.47,9.6
0.46,9.4
